 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Nov/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"130290 Maués";53;53;81177,14;64991,08;-;-;16186,06;-;-;1531,64;1531,64;324;6,1;7;13,21
"130300 Nhamundá";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;38;7,6;1;20,00
"130320 Novo Airão";5;5;7604,00;6083,95;-;-;1520,05;-;-;1520,80;1520,80;13;2,6;-;-
"130340 Parintins";175;175;271479,10;218277,35;-;-;53201,75;-;-;1551,31;1551,31;1319;7,5;15;8,57
"130356 Rio Preto da Eva";9;9;13860,00;11123,91;-;-;2736,09;-;-;1540,00;1540,00;55;6,1;-;-
"130370 Santo Antônio do Içá";17;17;25500,00;20331,83;-;-;5168,17;-;-;1500,00;1500,00;55;3,2;-;-
"130395 São Sebastião do Uatumã";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;2;1,0;-;-
"130406 Tabatinga";4;4;6452,33;5224,68;-;-;1227,65;-;-;1613,08;1613,08;29;7,3;-;-
"130410 Tapauá";14;14;21240,00;16983,86;-;-;4256,14;-;-;1517,14;1517,14;51;3,6;-;-
"130420 Tefé";20;20;30824,00;24743,80;-;-;6080,20;-;-;1541,20;1541,20;119;6,0;1;5,00
"130426 Uarini";9;9;13676,00;10939,91;-;-;2736,09;-;-;1519,56;1519,56;21;2,3;1;11,11
"130430 Urucará";11;11;16588,00;13243,89;-;-;3344,11;-;-;1508,00;1508,00;48;4,4;-;-
"140010 Boa Vista";123;123;979141,55;830758,46;-;-;148383,09;-;-;7960,50;7960,50;1348;11,0;28;22,76
"150010 Abaetetuba";26;26;40630,33;32668,02;-;-;7962,31;-;-;1562,71;1562,71;163;6,3;1;3,85
"150034 Água Azul do Norte";8;8;12032,00;9599,92;-;-;2432,08;-;-;1504,00;1504,00;23;2,9;-;-
"150040 Alenquer";5;5;7524,00;6003,95;-;-;1520,05;-;-;1504,80;1504,80;19;3,8;-;-
"150080 Ananindeua";19;19;65271,18;54862,99;-;-;10408,19;-;-;3435,33;3435,33;176;9,3;6;31,58
"150095 Aurora do Pará";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"150120 Baião";1;1;1548,00;1243,99;-;-;304,01;-;-;1548,00;1548,00;6;6,0;-;-
"150130 Barcarena";11;11;24113,92;19820,61;-;-;4293,31;-;-;2192,17;2192,17;40;3,6;1;9,09
"150140 Belém";216;216;593963,94;496878,30;-;-;97085,64;-;-;2749,83;2749,83;2247;10,4;32;14,81
"150157 Bom Jesus do Tocantins";9;9;13500,00;10763,91;-;-;2736,09;-;-;1500,00;1500,00;32;3,6;-;-
"150170 Bragança";5;5;7937,25;6417,20;-;-;1520,05;-;-;1587,45;1587,45;28;5,6;-;-
"150172 Brasil Novo";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;10;5,0;1;50,00
"150178 Breu Branco";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;4;4,0;-;-
"150180 Breves";4;4;21422,80;18172,76;-;-;3250,04;-;-;5355,70;5355,70;39;9,8;2;50,00
"150215 Canaã dos Carajás";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;29;7,3;-;-
"150230 Capitão Poço";14;14;21264,00;17007,86;-;-;4256,14;-;-;1518,86;1518,86;71;5,1;-;-
"150240 Castanhal";57;57;90673,68;73240,63;-;-;17433,05;-;-;1590,77;1590,77;368;6,5;4;7,02
"150277 Curionópolis";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;8;2,0;1;25,00
"150320 Igarapé-Açu";1;1;1516,00;1211,99;-;-;304,01;-;-;1516,00;1516,00;2;2,0;-;-
"150345 Ipixuna do Pará";22;22;33668,00;26979,78;-;-;6688,22;-;-;1530,36;1530,36;97;4,4;-;-
"150360 Itaituba";2;2;3241,39;2633,37;-;-;608,02;-;-;1620,69;1620,69;8;4,0;1;50,00
"150370 Itupiranga";8;8;12000,00;9567,92;-;-;2432,08;-;-;1500,00;1500,00;15;1,9;-;-
"150380 Jacundá";8;8;12000,00;9567,92;-;-;2432,08;-;-;1500,00;1500,00;38;4,8;-;-
"150390 Juruti";6;6;9063,50;7239,44;-;-;1824,06;-;-;1510,58;1510,58;31;5,2;-;-
"150400 Limoeiro do Ajuru";21;21;31668,00;25283,79;-;-;6384,21;-;-;1508,00;1508,00;84;4,0;-;-
"150405 Mãe do Rio";3;3;4564,00;3651,97;-;-;912,03;-;-;1521,33;1521,33;9;3,0;-;-
"150420 Marabá";62;62;324870,40;275274,94;-;-;49595,46;-;-;5239,85;5239,85;553;8,9;1;1,61
"150460 Mocajuba";7;7;10780,00;8651,93;-;-;2128,07;-;-;1540,00;1540,00;35;5,0;-;-
"150480 Monte Alegre";6;6;9239,25;7415,19;-;-;1824,06;-;-;1539,88;1539,88;39;6,5;1;16,67
"150495 Nova Esperança do Piriá";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;12;6,0;-;-
"150503 Novo Progresso";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;3;3,0;-;-
"150520 Oeiras do Pará";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;51;5,1;-;-
"150540 Ourém";3;3;4572,00;3659,97;-;-;912,03;-;-;1524,00;1524,00;9;3,0;-;-
"150543 Ourilândia do Norte";11;11;16500,00;13155,89;-;-;3344,11;-;-;1500,00;1500,00;60;5,5;1;9,09
"150549 Palestina do Pará";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;1;1,0;-;-
"150550 Paragominas";30;30;55953,41;45544,91;-;-;10408,50;-;-;1865,11;1865,11;217;7,2;3;10,00
"150553 Parauapebas";34;34;139751,08;117991,28;-;-;21759,80;-;-;4110,33;4110,33;469;13,8;14;41,18
"150600 Prainha";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;6;6,0;-;-
"150613 Redenção";17;17;33229,51;27737,69;-;-;5491,82;-;-;1954,68;1954,68;129;7,6;4;23,53
"150616 Rio Maria";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;6;6,0;-;-
"150618 Rondon do Pará";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;11;5,5;-;-
"150619 Rurópolis";13;13;19500,00;15547,87;-;-;3952,13;-;-;1500,00;1500,00;20;1,5;-;-
"150660 Santa Maria do Pará";3;3;4612,00;3699,97;-;-;912,03;-;-;1537,33;1537,33;14;4,7;-;-
"150670 Santana do Araguaia";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;8;2,7;-;-
"150680 Santarém";35;35;206297,52;177463,27;-;-;28834,25;-;-;5894,21;5894,21;399;11,4;15;42,86
"150715 São Domingos do Araguaia";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;11;3,7;-;-
"150730 São Félix do Xingu";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;19;3,2;-;-
"150745 São Geraldo do Araguaia";3;3;4556,00;3643,97;-;-;912,03;-;-;1518,67;1518,67;9;3,0;-;-
"150747 São João de Pirabas";3;3;4508,00;3595,97;-;-;912,03;-;-;1502,67;1502,67;15;5,0;-;-
"150760 São Miguel do Guamá";4;4;6064,00;4847,96;-;-;1216,04;-;-;1516,00;1516,00;13;3,3;-;-
"150780 Senador José Porfírio";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;3;3,0;-;-
"150797 Terra Santa";13;13;19500,00;15547,87;-;-;3952,13;-;-;1500,00;1500,00;74;5,7;-;-
"150803 Tracuateua";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;1;1,0;-;-
"150805 Trairão";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;1;1,0;-;-
"150808 Tucumã";12;12;18096,00;14447,88;-;-;3648,12;-;-;1508,00;1508,00;35;2,9;-;-
"150815 Uruará";11;11;16516,00;13171,89;-;-;3344,11;-;-;1501,45;1501,45;29;2,6;-;-
"150820 Vigia";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"150830 Viseu";3;3;4524,00;3611,97;-;-;912,03;-;-;1508,00;1508,00;13;4,3;-;-
"150835 Vitória do Xingu";1;1;1572,00;1267,99;-;-;304,01;-;-;1572,00;1572,00;9;9,0;-;-
"150840 Xinguara";4;4;6545,64;5329,60;-;-;1216,04;-;-;1636,41;1636,41;21;5,3;-;-
"160027 Laranjal do Jari";29;29;43644,00;34827,71;-;-;8816,29;-;-;1504,97;1504,97;74;2,6;-;-
"160030 Macapá";143;143;231769,57;186873,90;-;-;44895,67;-;-;1620,77;1620,77;1174;8,2;21;14,69
"160050 Oiapoque";16;16;24000,00;19135,84;-;-;4864,16;-;-;1500,00;1500,00;57;3,6;-;-
"170210 Araguaína";23;23;151821,17;129113,44;-;-;22707,73;-;-;6600,92;6600,92;184;8,0;2;8,70
"170550 Colinas do Tocantins";36;36;56318,97;45374,61;-;-;10944,36;-;-;1564,42;1564,42;103;2,9;1;2,78
"170900 Goiatins";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;14;14,0;-;-
"172120 Tocantinópolis";8;8;12208,00;9775,92;-;-;2432,08;-;-;1526,00;1526,00;27;3,4;-;-
"210005 Açailândia";8;8;12484,67;9991,24;-;-;2493,43;-;-;1560,58;1560,58;44;5,5;-;-
"210080 Anapurus";2;2;3024,00;2415,98;-;-;608,02;-;-;1512,00;1512,00;3;1,5;-;-
"210095 Arame";1;1;1516,00;1211,99;-;-;304,01;-;-;1516,00;1516,00;2;2,0;-;-
"210120 Bacabal";31;31;55621,78;45180,47;-;-;10441,31;-;-;1794,25;1794,25;207;6,7;5;16,13
"210140 Balsas";46;46;184191,42;154935,76;-;-;29255,66;-;-;4004,16;4004,16;436;9,5;9;19,57
"210170 Barreirinhas";8;8;13284,60;10852,52;-;-;2432,08;-;-;1660,57;1660,57;61;7,6;-;-
"210177 Bela Vista do Maranhão";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;5;2,5;-;-
"210203 Bom Jesus das Selvas";8;8;12176,00;9743,92;-;-;2432,08;-;-;1522,00;1522,00;23;2,9;-;-
"210210 Brejo";2;2;3032,00;2423,98;-;-;608,02;-;-;1516,00;1516,00;8;4,0;-;-
"210230 Buriti Bravo";8;8;12136,00;9703,92;-;-;2432,08;-;-;1517,00;1517,00;17;2,1;-;-
"210280 Carolina";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;3;3,0;-;-
"210290 Carutapera";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;22;4,4;1;20,00
"210300 Caxias";120;120;515846,45;432932,67;-;-;82913,78;-;-;4298,72;4298,72;1281;10,7;25;20,83
"210320 Chapadinha";5;5;17760,89;14884,84;-;-;2876,05;-;-;3552,18;3552,18;20;4,0;1;20,00
"210330 Codó";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;11;11,0;-;-
"210350 Colinas";8;8;12033,20;9601,12;-;-;2432,08;-;-;1504,15;1504,15;26;3,3;-;-
"210360 Coroatá";28;28;213192,71;181560,64;-;-;31632,07;-;-;7614,03;7614,03;385;13,8;9;32,14
"210380 Dom Pedro";5;5;7740,00;6219,95;-;-;1520,05;-;-;1548,00;1548,00;30;6,0;-;-
"210400 Esperantinópolis";3;3;4572,00;3659,97;-;-;912,03;-;-;1524,00;1524,00;9;3,0;-;-
"210405 Estreito";1;1;1524,00;1219,99;-;-;304,01;-;-;1524,00;1524,00;3;3,0;-;-
"210408 Fernando Falcão";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;5;2,5;-;-
"210409 Formosa da Serra Negra";18;18;27616,00;22143,82;-;-;5472,18;-;-;1534,22;1534,22;79;4,4;-;-
"210440 Gonçalves Dias";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;5;5,0;-;-
"210460 Governador Eugênio Barros";8;8;12056,00;9623,92;-;-;2432,08;-;-;1507,00;1507,00;32;4,0;-;-
"210465 Governador Newton Bello";1;1;1516,00;1211,99;-;-;304,01;-;-;1516,00;1516,00;2;2,0;-;-
"210467 Governador Nunes Freire";3;3;4524,00;3611,97;-;-;912,03;-;-;1508,00;1508,00;3;1,0;-;-
"210480 Grajaú";18;18;75545,15;63241,82;-;-;12303,33;-;-;4196,95;4196,95;116;6,4;5;27,78
"210530 Imperatriz";273;273;593249,35;485815,74;-;-;107433,61;-;-;2173,07;2173,07;2345;8,6;69;25,27
"210540 Itapecuru Mirim";2;2;3133,36;2525,34;-;-;608,02;-;-;1566,68;1566,68;12;6,0;-;-
"210547 Jenipapo dos Vieiras";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;-;-;-;-
"210570 Lago da Pedra";11;11;16502,00;13157,89;-;-;3344,11;-;-;1500,18;1500,18;94;8,5;8;72,73
"210610 Loreto";5;5;7564,00;6043,95;-;-;1520,05;-;-;1512,80;1512,80;15;3,0;-;-
"210630 Magalhães de Almeida";9;9;13644,00;10907,91;-;-;2736,09;-;-;1516,00;1516,00;22;2,4;-;-
"210667 Milagres do Maranhão";5;5;7564,00;6043,95;-;-;1520,05;-;-;1512,80;1512,80;13;2,6;-;-
