,CodigoUF,Sim,Sivep,DiferençaPercentual,Código UF,Unidade da Federação,UF
0,11,5059,4340,16.57,11,Rondônia,RO
1,12,1491,1324,12.61,12,Acre,AC
2,13,12095,8495,42.38,13,Amazonas,AM
3,14,1448,1155,25.37,14,Roraima,RR
4,15,14651,12688,15.47,15,Pará,PA
5,16,1730,1080,60.19,16,Amapá,AP
6,17,2728,2476,10.18,17,Tocantins,TO
7,21,9039,5444,66.04,21,Maranhão,MA
8,22,5165,4007,28.9,22,Piauí,PI
9,23,19101,15194,25.71,23,Ceará,CE
10,24,5925,4523,31.0,24,Rio Grande do Norte,RN
11,25,6688,6346,5.39,25,Paraíba,PB
12,26,15460,14017,10.29,26,Pernambuco,PE
13,27,5709,4626,23.41,27,Alagoas,AL
14,28,3869,4204,-7.97,28,Sergipe,SE
15,29,19572,14932,31.07,29,Bahia,BA
16,31,36455,35149,3.72,31,Minas Gerais,MG
17,32,7823,5844,33.86,32,Espírito Santo,ES
18,33,46081,34030,35.41,33,Rio de Janeiro,RJ
19,35,96285,85645,12.42,35,São Paulo,SP
20,41,22826,19392,17.71,41,Paraná,PR
21,42,13206,13279,-0.55,42,Santa Catarina,SC
22,43,22651,23529,-3.73,43,Rio Grande do Sul (*),RS
23,50,5053,5399,-6.41,50,Mato Grosso do Sul,MS
24,51,9043,5555,62.79,51,Mato Grosso,MT
25,52,16848,15037,12.04,52,Goiás,GO
26,53,5490,7144,-23.15,53,Distrito Federal,DF
