,DataObito,Sistema,Quantidade
185,2020-08-11,Sim,875.0
186,2020-08-12,Sim,914.0
187,2020-08-13,Sim,848.0
188,2020-08-14,Sim,897.0
189,2020-08-15,Sim,878.0
190,2020-08-16,Sim,891.0
191,2020-08-17,Sim,847.0
192,2020-08-18,Sim,851.0
193,2020-08-19,Sim,827.0
194,2020-08-20,Sim,782.0
195,2020-08-21,Sim,777.0
196,2020-08-22,Sim,816.0
197,2020-08-23,Sim,779.0
198,2020-08-24,Sim,808.0
199,2020-08-25,Sim,778.0
200,2020-08-26,Sim,766.0
201,2020-08-27,Sim,750.0
202,2020-08-28,Sim,775.0
203,2020-08-29,Sim,723.0
204,2020-08-30,Sim,774.0
205,2020-08-31,Sim,790.0
206,2020-09-01,Sim,731.0
207,2020-09-02,Sim,746.0
208,2020-09-03,Sim,695.0
209,2020-09-04,Sim,736.0
210,2020-09-05,Sim,715.0
211,2020-09-06,Sim,711.0
212,2020-09-07,Sim,731.0
213,2020-09-08,Sim,697.0
214,2020-09-09,Sim,646.0
215,2020-09-10,Sim,646.0
216,2020-09-11,Sim,704.0
217,2020-09-12,Sim,673.0
218,2020-09-13,Sim,650.0
219,2020-09-14,Sim,654.0
220,2020-09-15,Sim,641.0
221,2020-09-16,Sim,663.0
222,2020-09-17,Sim,626.0
223,2020-09-18,Sim,594.0
224,2020-09-19,Sim,643.0
225,2020-09-20,Sim,570.0
226,2020-09-21,Sim,568.0
227,2020-09-22,Sim,572.0
228,2020-09-23,Sim,531.0
229,2020-09-24,Sim,583.0
230,2020-09-25,Sim,588.0
231,2020-09-26,Sim,554.0
232,2020-09-27,Sim,527.0
233,2020-09-28,Sim,538.0
234,2020-09-29,Sim,613.0
235,2020-09-30,Sim,537.0
236,2020-10-01,Sim,615.0
237,2020-10-02,Sim,591.0
238,2020-10-03,Sim,531.0
239,2020-10-04,Sim,565.0
240,2020-10-05,Sim,557.0
241,2020-10-06,Sim,524.0
242,2020-10-07,Sim,534.0
