 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jun/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"130353 Presidente Figueiredo";14;14;21591,99;17335,86;-;-;4256,13;-;-;1542,28;1542,28;82;5,9;1;7,14
"130356 Rio Preto da Eva";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;21;5,3;-;-
"130370 Santo Antônio do Içá";47;47;70500,00;56211,53;-;-;14288,47;-;-;1500,00;1500,00;136;2,9;-;-
"130380 São Gabriel da Cachoeira";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;5;5,0;-;-
"130390 São Paulo de Olivença";16;16;24000,00;19135,84;-;-;4864,16;-;-;1500,00;1500,00;88;5,5;3;18,75
"130406 Tabatinga";42;42;68035,93;55139,80;-;-;12896,13;-;-;1619,90;1619,90;320;7,6;9;21,43
"130420 Tefé";137;137;206532,00;164882,63;-;-;41649,37;-;-;1507,53;1507,53;785;5,7;35;25,55
"130423 Tonantins";23;23;34500,00;27507,77;-;-;6992,23;-;-;1500,00;1500,00;98;4,3;5;21,74
"130426 Uarini";29;29;44148,00;35331,71;-;-;8816,29;-;-;1522,34;1522,34;80;2,8;-;-
"130430 Urucará";15;15;22620,00;18059,85;-;-;4560,15;-;-;1508,00;1508,00;57;3,8;-;-
"140005 Alto Alegre";3;3;4540,12;3620,35;-;-;919,77;-;-;1513,37;1513,37;19;6,3;-;-
"140010 Boa Vista";450;450;1439405,44;1202966,07;-;-;236439,37;-;-;3198,68;3198,68;4345;9,7;173;38,44
"140023 Caroebe";3;3;4556,00;3643,97;-;-;912,03;-;-;1518,67;1518,67;7;2,3;-;-
"140030 Mucajaí";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;5;2,5;-;-
"140040 Normandia";11;11;16500,00;13155,89;-;-;3344,11;-;-;1500,00;1500,00;36;3,3;1;9,09
"140045 Pacaraima";5;5;7579,99;6059,95;-;-;1520,04;-;-;1516,00;1516,00;21;4,2;1;20,00
"140047 Rorainópolis";22;22;33718,12;27006,68;-;-;6711,44;-;-;1532,64;1532,64;102;4,6;1;4,55
"140060 São Luiz";1;1;1640,42;1309,32;-;-;331,10;-;-;1640,42;1640,42;17;17,0;-;-
"150010 Abaetetuba";34;34;52333,95;41997,61;-;-;10336,34;-;-;1539,23;1539,23;192;5,6;16;47,06
"150020 Acará";7;7;10644,00;8515,93;-;-;2128,07;-;-;1520,57;1520,57;18;2,6;1;14,29
"150034 Água Azul do Norte";5;5;7516,00;5995,95;-;-;1520,05;-;-;1503,20;1503,20;15;3,0;-;-
"150040 Alenquer";28;28;42935,42;34384,44;-;-;8550,98;-;-;1533,41;1533,41;160;5,7;5;17,86
"150050 Almeirim";17;17;25556,00;20387,83;-;-;5168,17;-;-;1503,29;1503,29;68;4,0;7;41,18
"150060 Altamira";232;232;1353021,77;1127857,33;-;-;225164,44;-;-;5831,99;5831,99;1584;6,8;91;39,22
"150080 Ananindeua";181;181;1006343,58;853268,46;-;-;153075,12;-;-;5559,91;5559,91;1176;6,5;41;22,65
"150090 Augusto Corrêa";78;78;117472,00;93759,22;-;-;23712,78;-;-;1506,05;1506,05;587;7,5;1;1,28
"150095 Aurora do Pará";12;12;18000,00;14351,88;-;-;3648,12;-;-;1500,00;1500,00;47;3,9;-;-
"150130 Barcarena";31;31;49370,82;39764,62;-;-;9606,20;-;-;1592,61;1592,61;245;7,9;-;-
"150140 Belém";1453;1453;5650086,06;4741909,70;-;-;908176,36;-;-;3888,57;3888,57;12312;8,5;583;40,12
"150157 Bom Jesus do Tocantins";16;16;24000,00;19135,84;-;-;4864,16;-;-;1500,00;1500,00;60;3,8;-;-
"150170 Bragança";233;233;1266552,91;1069125,61;-;-;197427,30;-;-;5435,85;5435,85;1761;7,6;36;15,45
"150172 Brasil Novo";20;20;30000,00;23919,80;-;-;6080,20;-;-;1500,00;1500,00;78;3,9;1;5,00
"150180 Breves";109;109;262330,38;217265,44;-;-;45064,94;-;-;2406,70;2406,70;815;7,5;21;19,27
"150190 Bujaru";30;30;45904,00;36783,70;-;-;9120,30;-;-;1530,13;1530,13;110;3,7;5;16,67
"150215 Canaã dos Carajás";31;31;46537,95;37113,64;-;-;9424,31;-;-;1501,22;1501,22;259;8,4;6;19,35
"150220 Capanema";8;8;17843,40;14909,63;-;-;2933,77;-;-;2230,43;2230,43;66;8,3;1;12,50
"150230 Capitão Poço";37;37;55500,00;44251,63;-;-;11248,37;-;-;1500,00;1500,00;175;4,7;-;-
"150240 Castanhal";361;361;657863,63;533963,32;-;-;123900,31;-;-;1822,34;1822,34;2168;6,0;84;23,27
"150270 Conceição do Araguaia";13;13;19708,00;15755,87;-;-;3952,13;-;-;1516,00;1516,00;26;2,0;-;-
"150277 Curionópolis";20;20;30000,00;23919,80;-;-;6080,20;-;-;1500,00;1500,00;56;2,8;-;-
"150280 Curralinho";20;20;30216,00;24135,80;-;-;6080,20;-;-;1510,80;1510,80;26;1,3;-;-
"150293 Dom Eliseu";22;22;33416,00;26727,78;-;-;6688,22;-;-;1518,91;1518,91;54;2,5;-;-
"150307 Garrafão do Norte";17;17;26148,00;20979,83;-;-;5168,17;-;-;1538,12;1538,12;85;5,0;1;5,88
"150320 Igarapé-Açu";57;57;86628,00;69299,43;-;-;17328,57;-;-;1519,79;1519,79;333;5,8;7;12,28
"150330 Igarapé-Miri";15;15;23188,00;18627,85;-;-;4560,15;-;-;1545,87;1545,87;86;5,7;-;-
"150345 Ipixuna do Pará";50;50;76012,00;60811,50;-;-;15200,50;-;-;1520,24;1520,24;204;4,1;1;2,00
"150360 Itaituba";20;20;30000,00;23919,80;-;-;6080,20;-;-;1500,00;1500,00;92;4,6;7;35,00
"150370 Itupiranga";19;19;28500,00;22723,81;-;-;5776,19;-;-;1500,00;1500,00;54;2,8;-;-
"150390 Juruti";78;78;118346,52;94606,65;-;-;23739,87;-;-;1517,26;1517,26;451;5,8;21;26,92
"150405 Mãe do Rio";62;62;93640,00;74791,38;-;-;18848,62;-;-;1510,32;1510,32;261;4,2;4;6,45
"150420 Marabá";48;48;131946,64;109138,16;-;-;22808,48;-;-;2748,89;2748,89;347;7,2;13;27,08
"150430 Maracanã";23;23;34588,00;27595,77;-;-;6992,23;-;-;1503,83;1503,83;122;5,3;2;8,70
"150442 Marituba";32;32;91490,80;76011,24;-;-;15479,56;-;-;2859,09;2859,09;319;10,0;9;28,13
"150460 Mocajuba";20;20;30816,00;24735,80;-;-;6080,20;-;-;1540,80;1540,80;105;5,3;-;-
"150470 Moju";20;20;30921,43;24841,23;-;-;6080,20;-;-;1546,07;1546,07;112;5,6;2;10,00
"150480 Monte Alegre";26;26;39072,00;31167,74;-;-;7904,26;-;-;1502,77;1502,77;134;5,2;3;11,54
"150490 Muaná";17;17;26132,12;20956,21;-;-;5175,91;-;-;1537,18;1537,18;75;4,4;2;11,76
"150495 Nova Esperança do Piriá";30;30;45000,00;35879,70;-;-;9120,30;-;-;1500,00;1500,00;160;5,3;-;-
"150497 Nova Ipixuna";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;7;2,3;-;-
"150503 Novo Progresso";22;22;33040,00;26351,78;-;-;6688,22;-;-;1501,82;1501,82;66;3,0;2;9,09
"150530 Oriximiná";52;52;80653,07;64844,55;-;-;15808,52;-;-;1551,02;1551,02;330;6,3;7;13,46
"150540 Ourém";9;9;13644,00;10907,91;-;-;2736,09;-;-;1516,00;1516,00;18;2,0;4;44,44
"150543 Ourilândia do Norte";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;16;1,6;-;-
"150548 Pacajá";5;5;7604,00;6083,95;-;-;1520,05;-;-;1520,80;1520,80;13;2,6;-;-
"150549 Palestina do Pará";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;3;1,0;-;-
"150550 Paragominas";38;38;57092,38;45540,00;-;-;11552,38;-;-;1502,43;1502,43;213;5,6;2;5,26
"150553 Parauapebas";39;39;155057,56;130065,47;-;-;24992,09;-;-;3975,83;3975,83;318;8,2;20;51,28
