 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Mar-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"230950 Orós";-;-;7676,00;48120,00;37532,00;28588,00;7500,00;4500,00;3032,00;136948,00
"230960 Pacajus";1500,00;31555,00;70500,00;33055,00;13500,00;6000,00;-;-;-;156110,00
"230970 Pacatuba";12000,00;109500,00;31500,00;12000,00;4500,00;4500,00;1500,00;3000,00;1500,00;180000,00
"231010 Palmácia";-;7564,00;4540,00;1556,00;1516,00;-;-;-;-;15176,00
"231020 Paracuru";1524,00;28692,47;28500,00;22542,47;25500,00;15000,00;19520,06;19500,00;9060,18;169839,18
"231025 Paraipaba";-;49500,00;36000,00;9024,00;1500,00;1500,00;-;-;-;97524,00
"231030 Parambu";-;13500,00;12000,00;13500,00;16500,00;1500,00;7500,00;-;-;64500,00
"231050 Pedra Branca";-;7548,00;1500,00;6016,00;4540,00;22636,00;33192,00;21112,00;10548,00;107092,00
"231070 Pentecoste";-;1532,00;1500,00;61500,00;22500,00;-;-;4500,00;27000,00;118532,00
"231080 Pereiro";-;-;-;-;-;1540,00;1508,00;-;-;3048,00
"231085 Pindoretama";1500,00;14135,36;20503,95;12431,81;1500,00;-;-;1823,20;1500,00;53394,32
"231090 Piquet Carneiro";-;-;1500,00;-;-;1500,00;-;-;-;3000,00
"231100 Poranga";-;-;-;-;-;-;4540,00;-;-;4540,00
"231110 Porteiras";-;-;-;-;6112,00;-;-;-;-;6112,00
"231130 Quixadá";-;4524,00;83213,85;70637,42;139667,42;9520,86;4604,00;-;-;312167,55
"231135 Quixelô";-;-;18544,00;3000,00;19500,00;33000,00;9000,00;7516,00;-;90560,00
"231140 Quixeramobim";17772,61;186963,43;632778,28;742987,47;210890,82;123309,97;213981,85;631538,21;236964,61;2997187,25
"231150 Quixeré";-;-;15080,00;13556,00;7540,00;-;-;3008,00;-;39184,00
"231160 Redenção";1508,00;37716,00;48572,72;24236,18;13652,32;14032,00;1516,00;7568,00;16726,13;165527,35
"231170 Reriutaba";-;-;-;-;-;-;-;-;1516,00;1516,00
"231180 Russas";10644,00;22780,00;63935,35;73982,68;24812,85;32494,72;29189,95;26765,55;45311,66;329916,76
"231190 Saboeiro";-;-;-;-;1500,00;3000,00;7500,00;-;-;12000,00
"231195 Salitre";-;-;3000,00;1500,00;12000,00;3024,00;1500,00;-;-;21024,00
"231220 Santa Quitéria";-;7500,00;12184,00;9000,00;4500,00;10524,00;3000,00;3000,00;-;49708,00
"231200 Santana do Acaraú";-;-;-;-;10772,04;9208,69;-;-;-;19980,73
"231210 Santana do Cariri";-;-;3016,00;3008,00;-;-;-;-;-;6024,00
"231230 São Benedito";-;4500,00;10652,00;-;39000,00;-;-;3000,00;-;57152,00
"231240 São Gonçalo do Amarante";4563,72;55320,86;36672,18;18161,00;4628,19;1573,41;-;-;3000,00;123919,36
"231270 Senador Pompeu";-;1596,00;-;6000,00;1500,00;15032,00;4500,00;1532,00;-;30160,00
"231290 Sobral";10620,36;149909,17;1061031,77;1306358,79;3407939,32;3286744,71;2176862,17;1882639,77;468943,57;13751049,63
"231300 Solonópole";-;1540,00;6000,00;9008,00;9064,00;4596,00;-;3000,00;-;33208,00
"231310 Tabuleiro do Norte";-;-;-;-;27736,00;18592,00;23596,60;7924,24;11428,84;89277,68
"231320 Tamboril";-;-;-;4572,00;4548,00;10628,00;10652,00;6096,00;10676,00;47172,00
"231330 Tauá";1524,00;38637,09;371877,72;416937,32;385469,66;511454,78;523601,15;266977,46;391420,36;2907899,54
"231340 Tianguá";6280,41;50761,99;611171,91;448291,04;128652,36;95412,55;550861,20;348242,33;324889,15;2564562,94
"231350 Trairi";-;-;6000,00;10516,00;9056,00;10500,00;6040,00;-;-;42112,00
"231355 Tururu";-;6080,00;3024,00;1556,00;-;-;-;-;-;10660,00
"231360 Ubajara";-;7500,00;15128,00;31817,06;9048,00;10812,00;10564,00;4500,00;3000,00;92369,06
"231375 Umirim";-;1500,00;-;-;1500,00;-;-;-;-;3000,00
"231395 Varjota";-;-;7500,00;-;10628,00;9088,00;1500,00;1508,00;-;30224,00
"231400 Várzea Alegre";-;-;27484,18;18144,00;18304,00;45500,06;30344,00;10628,00;10580,00;160984,24
"231410 Viçosa do Ceará";-;22732,00;36328,00;45072,00;52556,00;21056,39;24016,00;-;-;201760,39
