 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Mar-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"410590 Colorado";-;2;4;3;2;2;2;7;10;32
"410640 Cornélio Procópio";-;-;1;-;-;-;-;1;-;2
"410690 Curitiba";1;7;55;179;266;206;247;190;269;1420
"410720 Dois Vizinhos";-;-;-;1;3;-;-;1;-;5
"410750 Engenheiro Beltrão";-;-;-;-;-;-;-;-;1;1
"410830 Foz do Iguaçu";-;-;2;-;1;13;11;16;33;76
"410840 Francisco Beltrão";1;2;4;4;17;12;14;8;30;92
"410860 Goioerê";-;-;-;6;5;5;5;3;3;27
"410880 Guaíra";-;-;-;-;-;1;1;-;-;2
"410940 Guarapuava";-;2;-;1;3;14;12;9;4;45
"410970 Ibaiti";-;-;-;-;1;-;-;-;-;1
"411070 Irati";-;-;-;2;1;3;1;3;2;12
"411125 Itaperuçu";-;-;-;2;1;-;-;-;4;7
"411150 Ivaiporã";-;-;-;-;5;6;3;1;4;19
"411180 Jacarezinho";-;-;-;-;1;-;2;-;-;3
"411200 Jaguariaíva";-;-;-;-;2;1;-;-;-;3
"411275 Jesuítas";-;-;-;-;-;1;-;-;-;1
"411330 Laranjeiras do Sul";-;-;-;1;1;3;1;3;1;10
"411350 Loanda";-;-;-;-;-;-;-;1;1;2
"411370 Londrina";-;-;6;26;44;43;56;19;73;267
"411430 Mandirituba";-;-;-;-;-;1;-;-;-;1
"411520 Maringá";-;3;4;17;39;40;44;51;41;239
"411560 Matelândia";-;-;-;-;-;-;1;-;-;1
"411580 Medianeira";-;-;-;-;1;-;1;2;-;4
"411670 Nova Aurora";-;-;-;-;-;1;-;-;-;1
"411722 Nova Santa Rosa";-;-;-;-;-;-;1;-;-;1
"411760 Palmas";-;-;-;1;1;3;4;-;-;9
"411820 Paranaguá";-;-;-;11;5;23;15;7;-;61
"411840 Paranavaí";-;16;4;6;9;6;2;6;19;68
"411850 Pato Branco";1;-;3;5;4;4;3;1;7;28
"411910 Piên";-;-;-;-;-;-;-;-;1;1
"411990 Ponta Grossa";-;7;1;24;34;42;43;32;41;224
"412035 Pranchita";-;-;-;-;-;-;-;-;1;1
"412090 Quedas do Iguaçu";-;-;-;-;2;-;-;-;-;2
"412120 Quitandinha";-;-;-;-;-;1;-;-;1;2
"412220 Rio Branco do Sul";-;-;-;1;-;-;-;1;2;4
"412230 Rio Negro";-;-;-;-;-;2;-;-;1;3
"412260 Rondon";-;-;-;-;-;-;-;-;1;1
"412350 Santa Helena";-;-;-;1;-;-;-;2;-;3
"412410 Santo Antônio da Platina";-;-;1;-;4;-;26;31;16;78
"412550 São José dos Pinhais";-;-;4;7;6;1;4;-;8;30
"412560 São Mateus do Sul";-;-;-;-;-;-;-;-;1;1
"412625 Sarandi";-;-;1;4;4;6;10;3;2;30
"412710 Telêmaco Borba";-;-;1;2;6;3;2;-;5;19
"412760 Tijucas do Sul";-;-;-;-;-;-;-;1;-;1
"412770 Toledo";-;1;9;4;12;10;16;7;17;76
"412800 Ubiratã";-;-;-;-;-;-;-;-;1;1
"412810 Umuarama";-;-;-;4;14;21;7;4;18;68
"412820 União da Vitória";-;-;-;5;5;2;-;3;6;21
"412860 Verê";-;-;1;-;-;-;-;-;-;1
"420140 Araranguá";1;4;1;15;18;13;6;9;38;105
"420150 Armazém";-;-;-;-;1;-;-;1;-;2
"420200 Balneário Camboriú";-;-;-;2;16;16;16;21;-;71
"420230 Biguaçu";-;1;1;2;-;-;8;10;-;22
"420240 Blumenau";-;1;3;22;39;47;10;16;33;171
"420280 Braço do Norte";-;-;-;1;-;3;1;2;7;14
"420290 Brusque";-;1;-;4;10;7;9;9;10;50
"420300 Caçador";-;-;1;5;10;12;13;6;11;58
"420320 Camboriú";-;-;-;1;3;1;1;-;-;6
"420360 Campos Novos";-;-;-;-;2;7;-;-;-;9
"420370 Canelinha";-;-;-;1;-;1;-;-;-;2
"420380 Canoinhas";-;-;1;3;7;10;2;6;6;35
"420390 Capinzal";-;-;-;1;1;-;-;-;-;2
"420420 Chapecó";-;-;7;8;7;25;31;13;15;106
"420430 Concórdia";-;2;5;3;4;7;3;2;3;29
"420460 Criciúma";1;5;3;7;39;34;27;16;12;144
"420480 Curitibanos";-;-;3;7;3;14;-;3;11;41
"420490 Descanso";-;-;-;-;-;1;-;-;-;1
"420540 Florianópolis";1;-;1;9;11;44;19;48;17;150
"420550 Fraiburgo";-;-;-;-;-;-;-;-;1;1
"420590 Gaspar";-;-;3;15;6;1;-;6;10;41
"420650 Guaramirim";-;-;-;-;-;-;-;-;2;2
"420690 Ibirama";-;-;-;-;1;7;1;-;4;13
"420700 Içara";-;1;4;4;1;5;2;7;10;34
"420730 Imbituba";-;-;-;3;6;1;3;8;34;55
"420750 Indaial";-;-;-;3;13;2;-;1;-;19
"420765 Iporã do Oeste";-;-;-;-;1;1;-;1;-;3
"420810 Itaiópolis";-;-;-;1;-;-;-;-;-;1
"420820 Itajaí";-;1;15;36;32;38;25;21;19;187
"420830 Itapema";-;-;-;7;2;-;-;3;3;15
"420850 Ituporanga";-;-;-;-;1;-;1;3;9;14
"420880 Jaguaruna";-;-;-;-;2;-;-;2;2;6
"420890 Jaraguá do Sul";-;2;2;1;8;12;13;18;8;64
"420900 Joaçaba";-;-;-;6;9;5;3;2;3;28
"420910 Joinville";-;7;14;53;110;55;19;16;23;297
"420930 Lages";-;-;-;5;20;21;43;25;35;149
"421010 Mafra";-;1;1;1;1;-;4;5;6;19
"421050 Maravilha";-;-;-;-;2;1;-;2;2;7
"421080 Meleiro";-;-;-;-;-;-;1;1;6;8
"421120 Morro da Fumaça";-;-;-;6;9;5;2;1;4;27
"421130 Navegantes";-;-;-;2;2;-;-;-;-;4
"421150 Nova Trento";-;-;-;2;3;7;-;7;-;19
"421170 Orleans";-;-;-;-;3;2;-;-;1;6
"421210 Palmitos";-;-;2;-;-;-;-;-;-;2
"421220 Papanduva";-;1;-;-;-;1;1;-;-;3
"421250 Penha";-;-;-;-;2;-;-;-;-;2
"421320 Pomerode";-;-;-;-;-;-;-;1;3;4
"421360 Porto União";-;-;-;-;-;1;-;-;-;1
"421380 Praia Grande";-;-;-;-;1;-;-;-;3;4
"421480 Rio do Sul";-;2;1;2;3;-;1;4;-;13
"421500 Rio Negrinho";-;-;-;1;2;1;-;-;-;4
"421530 Salete";-;-;-;-;-;-;-;-;1;1
"421570 Santo Amaro da Imperatriz";-;-;-;-;-;2;4;-;2;8
"421580 São Bento do Sul";-;-;-;1;4;4;2;2;2;15
"421600 São Carlos";-;1;-;-;-;-;-;1;2;4
"421620 São Francisco do Sul";-;-;-;-;-;-;1;-;2;3
"421660 São José";-;-;-;4;3;22;4;5;4;42
"421690 São Lourenço do Oeste";-;-;-;-;-;-;-;-;4;4
"421720 São Miguel do Oeste";-;-;2;-;4;11;13;10;16;56
"421750 Seara";-;-;1;-;-;-;-;-;-;1
"421770 Sombrio";-;-;-;-;-;7;-;-;-;7
"421800 Tijucas";-;-;-;-;1;-;-;7;-;8
"421820 Timbó";-;2;-;1;21;11;2;2;14;53
"421830 Três Barras";-;-;-;2;2;-;-;-;2;6
"421840 Treze de Maio";-;-;-;-;-;-;1;1;1;3
"421870 Tubarão";-;3;2;5;14;39;21;6;27;117
"421880 Turvo";-;-;-;-;-;-;-;1;-;1
"421900 Urussanga";-;-;1;2;2;-;1;3;6;15
"421930 Videira";-;-;1;3;8;5;1;4;5;27
"421950 Xanxerê";-;4;16;24;15;23;2;11;21;116
"421970 Xaxim";1;-;6;-;1;-;1;-;2;11
"430020 Ajuricaba";-;-;-;-;-;-;-;-;1;1
