,ano,mes,Quantidade_sim,Quantidade_sivep,Diferenca
0,2020,2,50,0.0,50.0
1,2020,3,638,495.0,143.0
2,2020,4,10920,7658.0,3262.0
3,2020,5,30515,22700.0,7815.0
4,2020,6,28952,24521.0,4431.0
5,2020,7,31093,27629.0,3464.0
6,2020,8,26490,24094.0,2396.0
7,2020,9,19083,17556.0,1527.0
8,2020,10,14374,13009.0,1365.0
9,2020,11,14572,12764.0,1808.0
10,2020,12,26854,22526.0,4328.0
11,2021,1,32658,27090.0,5568.0
12,2021,2,31019,26664.0,4355.0
13,2021,3,79440,65134.0,14306.0
14,2021,4,64833,63014.0,1819.0
