 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Ago/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"510810 Tesouro";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;5;5,0;-;-
"510820 Torixoréu";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;1;1,0;-;-
"510840 Várzea Grande";523;523;2088086,06;1761453,39;-;-;326632,67;-;-;3992,52;3992,52;3360;6,4;112;21,41
"520013 Acreúna";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;10;3,3;-;-
"520025 Águas Lindas de Goiás";55;55;82668,00;65947,45;-;-;16720,55;-;-;1503,05;1503,05;66;1,2;2;3,64
"520030 Alexânia";9;9;13500,00;10763,91;-;-;2736,09;-;-;1500,00;1500,00;35;3,9;-;-
"520050 Aloândia";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;6;3,0;-;-
"520080 Alvorada do Norte";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;5;5,0;-;-
"520110 Anápolis";140;140;865288,44;735903,59;-;-;129384,85;-;-;6180,63;6180,63;1210;8,6;45;32,14
"520140 Aparecida de Goiânia";625;625;3278558,63;2777357,31;-;-;501201,32;-;-;5245,69;5245,69;4287;6,9;168;26,88
"520215 Araguapaz";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;13;4,3;-;-
"520320 Barro Alto";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;3;3,0;-;-
"520330 Bela Vista de Goiás";11;11;16500,00;13155,89;-;-;3344,11;-;-;1500,00;1500,00;52;4,7;-;-
"520350 Bom Jesus de Goiás";17;17;25616,75;20448,58;-;-;5168,17;-;-;1506,87;1506,87;77;4,5;-;-
"520380 Britânia";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;23;3,3;-;-
"520390 Buriti Alegre";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;4;4,0;-;-
"520410 Cachoeira Alta";9;9;13500,00;10763,91;-;-;2736,09;-;-;1500,00;1500,00;32;3,6;1;11,11
"520430 Caçu";9;9;13500,00;10763,91;-;-;2736,09;-;-;1500,00;1500,00;18;2,0;-;-
"520440 Caiapônia";11;11;16500,00;13155,89;-;-;3344,11;-;-;1500,00;1500,00;22;2,0;-;-
