 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jul/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"130100 Carauari";4;4;6333,00;4948,96;-;-;1384,04;-;-;1583,25;1583,25;26;6,5;-;-
"130110 Careiro";5;5;7516,00;5995,95;-;-;1520,05;-;-;1503,20;1503,20;11;2,2;-;-
"130120 Coari";13;13;19785,75;15833,62;-;-;3952,13;-;-;1521,98;1521,98;44;3,4;4;30,77
"130160 Fonte Boa";7;7;10892,00;8763,93;-;-;2128,07;-;-;1556,00;1556,00;60;8,6;2;28,57
"130165 Guajará";34;34;51088,00;40751,66;-;-;10336,34;-;-;1502,59;1502,59;170;5,0;-;-
"130170 Humaitá";89;89;137339,35;110252,16;-;-;27087,19;-;-;1543,14;1543,14;500;5,6;18;20,22
"130185 Iranduba";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"130190 Itacoatiara";67;67;102672,54;82269,04;-;-;20403,50;-;-;1532,43;1532,43;323;4,8;-;-
"130250 Manacapuru";27;27;42440,81;34228,67;-;-;8212,14;-;-;1571,88;1571,88;149;5,5;2;7,41
"130260 Manaus";1128;1128;5676698,52;4814715,57;-;-;861982,95;-;-;5032,53;5032,53;11533;10,2;336;29,79
"130270 Manicoré";11;11;16916,00;13571,89;-;-;3344,11;-;-;1537,82;1537,82;52;4,7;4;36,36
