 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Mar-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"521080 Itajá";-;-;-;-;-;-;3;2;-;5
"521090 Itapaci";-;-;-;3;41;81;79;26;20;250
"521120 Itapuranga";-;-;-;-;7;21;16;10;-;54
"521130 Itarumã";-;-;-;-;-;-;12;-;-;12
"521140 Itauçu";-;-;-;7;25;12;-;-;-;44
"521150 Itumbiara";-;4;136;235;187;757;1383;749;1037;4488
"521180 Jaraguá";-;-;-;-;-;-;57;5;275;337
"521190 Jataí";6;18;122;338;707;348;-;73;154;1766
"521210 Joviânia";-;-;-;4;-;3;-;-;-;7
"521220 Jussara";-;-;6;6;15;8;10;-;-;45
"521250 Luziânia";-;-;-;-;1150;964;694;609;642;4059
"521260 Mairipotaba";-;-;-;2;4;-;-;-;-;6
"521270 Mambaí";-;-;-;-;1;-;-;-;-;1
"521300 Maurilândia";-;-;-;-;-;-;-;3;-;3
"521308 Minaçu";-;-;-;-;51;38;190;15;17;311
"521310 Mineiros";-;-;9;9;14;-;204;-;-;236
"521375 Montividiu";-;-;-;9;-;-;-;-;-;9
"521380 Morrinhos";-;-;-;15;42;308;-;372;33;770
"521400 Mozarlândia";-;-;-;25;28;22;18;-;-;93
"521450 Nerópolis";-;-;-;-;766;693;468;258;43;2228
"521460 Niquelândia";-;-;-;16;29;127;92;14;25;303
"521530 Orizona";-;-;-;-;45;20;20;29;-;114
"521580 Palmelo";-;-;-;-;-;-;4;-;-;4
"521630 Paranaiguara";-;-;-;13;44;39;19;9;25;149
"521640 Paraúna";-;-;-;-;-;20;12;2;-;34
"521710 Piracanjuba";-;-;7;17;17;17;21;3;7;89
"521720 Piranhas";-;-;-;4;9;5;-;-;-;18
"521730 Pirenópolis";-;-;-;-;59;30;19;-;-;108
"521740 Pires do Rio";-;-;-;56;43;76;7;11;-;193
"521760 Planaltina";-;-;29;27;148;75;37;35;7;358
"521770 Pontalina";-;-;-;4;10;2;5;2;-;23
"521800 Porangatu";-;-;105;365;585;615;421;157;-;2248
