 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Out/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"130250 Manacapuru";34;34;53345,48;42920,13;-;-;10425,35;-;-;1568,98;1568,98;196;5,8;2;5,88
"130260 Manaus";687;687;1979506,30;1662518,07;-;-;316988,23;-;-;2881,38;2881,38;7316;10,6;121;17,61
"130270 Manicoré";15;15;23248,18;18676,42;-;-;4571,76;-;-;1549,88;1549,88;89;5,9;1;6,67
"130290 Maués";27;27;41508,00;33299,73;-;-;8208,27;-;-;1537,33;1537,33;178;6,6;2;7,41
"130300 Nhamundá";8;8;12088,00;9655,92;-;-;2432,08;-;-;1511,00;1511,00;29;3,6;-;-
"130320 Novo Airão";1;1;1540,00;1235,99;-;-;304,01;-;-;1540,00;1540,00;5;5,0;-;-
"130340 Parintins";175;175;266223,45;213021,70;-;-;53201,75;-;-;1521,28;1521,28;1212;6,9;14;8,00
"130350 Pauini";11;11;16500,00;13155,89;-;-;3344,11;-;-;1500,00;1500,00;74;6,7;-;-
"130356 Rio Preto da Eva";7;7;10644,00;8515,93;-;-;2128,07;-;-;1520,57;1520,57;27;3,9;-;-
"130390 São Paulo de Olivença";6;6;9072,00;7247,94;-;-;1824,06;-;-;1512,00;1512,00;25;4,2;1;16,67
"130395 São Sebastião do Uatumã";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;3;3,0;1;100,00
"130406 Tabatinga";3;3;4700,90;3788,87;-;-;912,03;-;-;1566,97;1566,97;14;4,7;2;66,67
"130420 Tefé";18;18;27544,00;22071,82;-;-;5472,18;-;-;1530,22;1530,22;72;4,0;1;5,56
"130423 Tonantins";8;8;12000,00;9567,92;-;-;2432,08;-;-;1500,00;1500,00;43;5,4;-;-
"130426 Uarini";8;8;12160,00;9727,92;-;-;2432,08;-;-;1520,00;1520,00;19;2,4;2;25,00
"140010 Boa Vista";89;89;392845,32;332188,33;-;-;60656,99;-;-;4413,99;4413,99;893;10,0;14;15,73
"150010 Abaetetuba";35;35;54519,69;43844,51;-;-;10675,18;-;-;1557,71;1557,71;216;6,2;3;8,57
"150034 Água Azul do Norte";6;6;9048,00;7223,94;-;-;1824,06;-;-;1508,00;1508,00;12;2,0;-;-
"150040 Alenquer";3;3;4548,00;3635,97;-;-;912,03;-;-;1516,00;1516,00;8;2,7;-;-
"150050 Almeirim";6;6;9024,00;7199,94;-;-;1824,06;-;-;1504,00;1504,00;19;3,2;-;-
"150060 Altamira";13;13;37706,85;30308,38;-;-;7398,47;-;-;2900,53;2900,53;122;9,4;2;15,38
"150080 Ananindeua";11;11;21417,51;17811,95;-;-;3605,56;-;-;1947,05;1947,05;87;7,9;-;-
"150090 Augusto Corrêa";5;5;7564,00;6043,95;-;-;1520,05;-;-;1512,80;1512,80;27;5,4;-;-
"150095 Aurora do Pará";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;7;3,5;-;-
"150120 Baião";1;1;1548,00;1243,99;-;-;304,01;-;-;1548,00;1548,00;6;6,0;-;-
"150130 Barcarena";33;33;50708,00;40675,67;-;-;10032,33;-;-;1536,61;1536,61;160;4,8;-;-
"150140 Belém";175;175;927598,54;789356,46;-;-;138242,08;-;-;5300,56;5300,56;2426;13,9;34;19,43
"150157 Bom Jesus do Tocantins";13;13;19500,00;15547,87;-;-;3952,13;-;-;1500,00;1500,00;30;2,3;-;-
"150172 Brasil Novo";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;23;3,3;-;-
"150178 Breu Branco";10;10;15077,95;12037,85;-;-;3040,10;-;-;1507,80;1507,80;49;4,9;-;-
"150180 Breves";2;2;6483,72;5468,90;-;-;1014,82;-;-;3241,86;3241,86;13;6,5;-;-
"150215 Canaã dos Carajás";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;12;6,0;-;-
"150230 Capitão Poço";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;18;6,0;-;-
"150240 Castanhal";51;51;102023,81;83427,75;-;-;18596,06;-;-;2000,47;2000,47;362;7,1;5;9,80
"150277 Curionópolis";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;13;1,9;-;-
"150280 Curralinho";13;13;20142,00;16189,87;-;-;3952,13;-;-;1549,38;1549,38;77;5,9;2;15,38
