 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Set/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"510650 Poconé";20;20;30000,00;23919,80;-;-;6080,20;-;-;1500,00;1500,00;102;5,1;10;50,00
"510675 Pontes e Lacerda";12;12;19406,49;15758,37;-;-;3648,12;-;-;1617,21;1617,21;60;5,0;-;-
"510700 Poxoréo";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;62;6,2;2;20,00
"510704 Primavera do Leste";1;1;1636,41;1332,40;-;-;304,01;-;-;1636,41;1636,41;9;9,0;-;-
"510706 Querência";52;52;82637,94;66829,42;-;-;15808,52;-;-;1589,19;1589,19;209;4,0;-;-
"510760 Rondonópolis";207;207;1388961,65;1179888,73;-;-;209072,92;-;-;6709,96;6709,96;1406;6,8;78;37,68
"510730 São José do Rio Claro";4;4;6056,00;4839,96;-;-;1216,04;-;-;1514,00;1514,00;18;4,5;-;-
"510790 Sinop";89;89;626485,58;533615,83;-;-;92869,75;-;-;7039,16;7039,16;621;7,0;54;60,67
"510792 Sorriso";49;49;89863,46;73740,99;-;-;16122,47;-;-;1833,95;1833,95;294;6,0;8;16,33
"510794 Tabaporã";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;4;1,3;-;-
"510795 Tangará da Serra";66;66;129081,04;108180,47;-;-;20900,57;-;-;1955,77;1955,77;583;8,8;14;21,21
"510800 Tapurah";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;14;4,7;-;-
"510805 Terra Nova do Norte";5;5;7716,00;6195,95;-;-;1520,05;-;-;1543,20;1543,20;50;10,0;-;-
"510810 Tesouro";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
